id,name,location,cuisine,avg_cost_for_two,rating,budget_band
mukesh-sweet-centre::banashankari,Mukesh Sweet Centre,banashankari,mithai,300.0,,low
darkolates::banashankari,Darkolates,banashankari,desserts,200.0,,low
sai-super-sandwich::banashankari,Sai Super Sandwich,banashankari,"sandwich, beverages",200.0,,low
gopi-ice-creams::banashankari,Gopi Ice Creams,banashankari,ice cream,100.0,,low
sugar-stars-co::basavanagudi,Sugar Stars Co,basavanagudi,"bakery, desserts",300.0,,low
bombay-kulfis::jp-nagar,Bombay Kulfis,jp nagar,ice cream,200.0,,low
cakecraft::jayanagar,Cakecraft,jayanagar,desserts,350.0,,low
my-tea-house::banashankari,My Tea House,banashankari,"continental, asian, north indian, tea",500.0,,low
ferment::banashankari,Ferment,banashankari,continental,1000.0,,medium
my-tea-house::banashankari,My Tea House,banashankari,"continental, asian, north indian, tea",500.0,,low
annapooraneshwari-mess::banashankari,Annapooraneshwari Mess,banashankari,south indian,200.0,,low
7-hills-restaurant::banashankari,7 Hills Restaurant,banashankari,"north indian, south indian",500.0,,low
linnet-bar-restaurant::banashankari,Linnet Bar & Restaurant,banashankari,"fast food, finger food",500.0,,low
karavali-lunch-home::banashankari,Karavali Lunch Home,banashankari,"south indian, north indian, seafood, mangalorean",400.0,,low
banashankari-nati-style::banashankari,Banashankari Nati Style,banashankari,"biryani, chinese, south indian, north indian",350.0,,low
cafe-coffee-day::banashankari,Cafe Coffee Day,banashankari,"cafe, fast food",900.0,,medium
sln-bar-and-restaurant::banashankari,SLN Bar and Restaurant,banashankari,"north indian, chinese",700.0,,low
kaumudis-juoice::banashankari,Kaumudis Juoice,banashankari,"beverages, fast food, juices",150.0,,low
parijatha-paradise::banashankari,Parijatha Paradise,banashankari,"south indian, north indian, fast food, chinese, street food",500.0,,low
hyderabad-express::banashankari,Hyderabad Express,banashankari,"hyderabadi, biryani, south indian, andhra, beverages",300.0,,low
kaapi-corner::banashankari,Kaapi Corner,banashankari,south indian,100.0,,low
spicy-tandoor::banashankari,Spicy Tandoor,banashankari,north indian,150.0,,low
chill-out::banashankari,Chill Out,banashankari,"south indian, chinese",100.0,,low
7-hills-garden-restaurant::banashankari,7 Hills Garden Restaurant,banashankari,"north indian, mughlai, chinese",400.0,,low
shri-guru-raghavendra-grand-veg::banashankari,Shri Guru Raghavendra Grand Veg,banashankari,"south indian, north indian, chinese",400.0,,low
roti-land::banashankari,Roti Land,banashankari,north indian,200.0,,low
yaarub-hotel::banashankari,Yaarub Hotel,banashankari,biryani,250.0,,low
aarush-s-food-plaza::banashankari,Aarush's Food Plaza,banashankari,"north indian, street food",200.0,,low
rotti-mane::banashankari,Rotti Mane,banashankari,south indian,100.0,,low
karnataka-bhel-house::banashankari,Karnataka Bhel House,banashankari,street food,150.0,,low
kannadigas-karavali::banashankari,Kannadigas Karavali,banashankari,"mangalorean, south indian, north indian",250.0,,low
the-coorg-kitchen::banashankari,The Coorg Kitchen,banashankari,south indian,400.0,,low
cueferia-a-cafe::banashankari,Cueferia A-Cafe,banashankari,"north indian, south indian, fast food, chinese, italian",400.0,,low
sri-basaveshwar-jolada-rotti-oota::banashankari,Sri Basaveshwar Jolada Rotti Oota,banashankari,south indian,150.0,,low
dtink-lab::banashankari,Dtink Lab,banashankari,"beverages, sandwich",80.0,,low
shree-udupi-south-kitchen::banashankari,Shree Udupi South kitchen,banashankari,south indian,150.0,,low
foodlieious-multi-cuisine::banashankari,Foodlieious Multi Cuisine,banashankari,north indian,100.0,,low
bangalore-kabab-palace::banashankari,Bangalore Kabab Palace,banashankari,"andhra, biryani",150.0,,low
hotel-andhra-speices::banashankari,Hotel Andhra Speices,banashankari,andhra,250.0,,low
quality-dum-biriyani::banashankari,Quality Dum Biriyani,banashankari,"biryani, kebab",150.0,,low
sri-murari-family-restaurant::banashankari,Sri Murari Family Restaurant,banashankari,biryani,250.0,,low
taja-coffee::banashankari,Taja Coffee,banashankari,south indian,150.0,,low
aramane-donne-biriyani::banashankari,Aramane Donne Biriyani,banashankari,"south indian, biryani",150.0,,low
swaada-healthy-kitchen::banashankari,Swaada Healthy Kitchen,banashankari,"healthy food, juices, sandwich",350.0,,low
new-prakash-hotel::banashankari,New Prakash Hotel,banashankari,south indian,250.0,,low
gawdaru-mane-beriyani::banashankari,Gawdaru Mane Beriyani,banashankari,"south indian, biryani",300.0,,low
