id,name,location,cuisine,avg_cost_for_two,rating,budget_band
food-box--the-taste-of-odisha::marathahalli,Food Box -The Taste Of Odisha,marathahalli,"chinese, oriya, bengali, north indian",350.0,,low
curries-and-pickles::marathahalli,Curries and Pickles,marathahalli,"andhra, north indian, biryani",250.0,,low
quality-eat::whitefield,Quality Eat,whitefield,south indian,400.0,,low
speedy-chow::marathahalli,Speedy Chow,marathahalli,"chinese, thai",500.0,,low
sri-vinayaka-99-variety-dosa::marathahalli,Sri Vinayaka 99 Variety Dosa,marathahalli,south indian,350.0,,low
anushka-restaurant::whitefield,Anushka Restaurant,whitefield,"north indian, chinese",550.0,,low
the-chai-stop::brookefield,The Chai Stop,brookefield,"fast food, tea",200.0,,low
foody-s-land::old-airport-road,Foody's Land,old airport road,fast food,300.0,,low
cold-fusion::whitefield,Cold Fusion,whitefield,"ice cream, beverages, desserts",300.0,,low
new-udupi-shubh-sagar::whitefield,New Udupi Shubh Sagar,whitefield,"south indian, north indian, chinese",400.0,,low
canopus-multicuisine-restaurant::marathahalli,Canopus Multicuisine Restaurant,marathahalli,"north indian, seafood, biryani, chinese",800.0,,low
oregano-pasta-pizza::whitefield,Oregano Pasta & Pizza,whitefield,italian,300.0,,low
bakingo::marathahalli,Bakingo,marathahalli,"bakery, desserts",500.0,,low
milkyway-ice-creams-fast-food::itpl-main-road-whitefield,Milkyway Ice Creams & Fast Food,"itpl main road, whitefield","fast food, ice cream, beverages",200.0,,low
kitchens-of-chettinad::whitefield,Kitchens Of Chettinad,whitefield,south indian,250.0,,low
the-grains::marathahalli,The Grains,marathahalli,"south indian, north indian, chinese",300.0,,low
indian-chulha::whitefield,Indian Chulha,whitefield,north indian,200.0,,low
pita-pit::whitefield,Pita Pit,whitefield,"healthy food, salad, mexican, beverages",600.0,,low
sangam-sweets::marathahalli,Sangam Sweets,marathahalli,"mithai, street food",200.0,,low
nawab-di-biryani::whitefield,Nawab Di Biryani,whitefield,"biryani, mughlai",400.0,,low
absolute-shawarma::brookefield,Absolute Shawarma,brookefield,lebanese,150.0,,low
risalo-restaurant::brookefield,Risalo Restaurant,brookefield,"north indian, chinese",400.0,,low
lenny-s-burgers::varthur-main-road-whitefield,Lenny's Burgers,"varthur main road, whitefield","burger, fast food",500.0,,low
happy-eats::whitefield,Happy Eats,whitefield,"north indian, continental",300.0,,low
rivayat::varthur-main-road-whitefield,Rivayat,"varthur main road, whitefield","north indian, chinese",500.0,,low
tummy-singh::brookefield,Tummy Singh,brookefield,"north indian, chinese",700.0,,low
nikhil-s-food-court::brookefield,Nikhil's Food Court,brookefield,"south indian, north indian, chinese, fast food",300.0,,low
auntie-fung-s::whitefield,Auntie Fung's,whitefield,"chinese, vietnamese, desserts",700.0,,low
the-delhiwala-s-kitchen-pure-veg::brookefield,The Delhiwala's Kitchen-Pure Veg,brookefield,north indian,200.0,,low
basmati-s-briyani-nation::varthur-main-road-whitefield,Basmati's Briyani Nation,"varthur main road, whitefield","south indian, biryani",350.0,,low
sizzles::whitefield,Sizzles,whitefield,"north indian, chinese, continental",800.0,,low
chefie::whitefield,Chefie,whitefield,"continental, fast food, italian, north indian",200.0,,low
hyderabadi-dum-biriyani::whitefield,Hyderabadi Dum Biriyani,whitefield,"north indian, chinese",350.0,,low
teja-special-kitchen::whitefield,Teja Special Kitchen,whitefield,"north indian, south indian, chinese",200.0,,low
tasty-homely-food::itpl-main-road-whitefield,Tasty Homely Food,"itpl main road, whitefield","north indian, chinese, fast food, street food, mithai",350.0,,low
me-and-my-cake::whitefield,Me And My Cake,whitefield,"bakery, desserts",500.0,,low
paratha-mania::itpl-main-road-whitefield,Paratha Mania,"itpl main road, whitefield","north indian, chinese",200.0,,low
sardar-tikka-singh::marathahalli,Sardar Tikka Singh,marathahalli,north indian,500.0,,low
house-of-combos::marathahalli,House Of Combos,marathahalli,"north indian, fast food, burger, momos",600.0,,low
choice-of-food::whitefield,Choice of Food,whitefield,"andhra, biryani",200.0,,low
vindhwashni-bakers-confectioner-florist::whitefield,"Vindhwashni Bakers, Confectioner & Florist",whitefield,"bakery, desserts",400.0,,low
amaravathi-biryani-zone::whitefield,Amaravathi Biryani Zone,whitefield,"chinese, south indian, north indian",600.0,,low
moon-king-hotel::kr-puram,Moon King Hotel,kr puram,"chinese, north indian, south indian",250.0,,low
andhra-ghumaghumalu::whitefield,Andhra Ghumaghumalu,whitefield,"andhra, biryani, north indian",300.0,,low
cocoa-bakes::brookefield,Cocoa Bakes,brookefield,"bakery, desserts",300.0,,low
sogo---shakes-on-the-go::brookefield,SOGO - Shakes On The Go,brookefield,"desserts, ice cream",350.0,,low
dhanlaxmi-sweets-chats::brookefield,Dhanlaxmi Sweets & Chats,brookefield,mithai,400.0,,low
grandees-bakes-juice::brookefield,Grandees Bakes & Juice,brookefield,"bakery, fast food, juices",250.0,,low
third-wave-coffee-roasters::whitefield,Third Wave Coffee Roasters,whitefield,"cafe, continental, desserts",800.0,,low
bakingo::marathahalli,Bakingo,marathahalli,"bakery, desserts",500.0,,low
bombay-kulfis::whitefield,Bombay Kulfis,whitefield,ice cream,200.0,,low
kheer-kadamb---bengali-sweets-and-snacks::whitefield,Kheer Kadamb - Bengali Sweets and Snacks,whitefield,"mithai, street food",300.0,,low
the-healthy-bakes::marathahalli,The Healthy Bakes,marathahalli,"bakery, desserts",500.0,,low
renees-cake-art::varthur-main-road-whitefield,Renees Cake Art,"varthur main road, whitefield","bakery, desserts",400.0,,low
cake-mane::marathahalli,Cake Mane,marathahalli,bakery,400.0,,low
the-french-loaf::marathahalli,The French Loaf,marathahalli,"bakery, desserts",300.0,,low
sugarkiss-bake-studio::whitefield,Sugarkiss Bake Studio,whitefield,bakery,400.0,,low
petit-crumbs::marathahalli,Petit Crumbs,marathahalli,"bakery, desserts",300.0,,low
raj-sweets::whitefield,Raj Sweets,whitefield,"mithai, street food",200.0,,low
oven-fresh::marathahalli,Oven Fresh,marathahalli,"bakery, fast food",600.0,,low
disha-s-cake-boutique::marathahalli,Disha's Cake Boutique,marathahalli,bakery,400.0,,low
me-and-my-cake::whitefield,Me And My Cake,whitefield,"bakery, desserts",500.0,,low
creamiester::whitefield,Creamiester,whitefield,"ice cream, desserts",300.0,,low
the-cake-shop::whitefield,The Cake Shop,whitefield,bakery,700.0,,low
ice-crystal-gola::marathahalli,Ice Crystal Gola,marathahalli,"ice cream, juices, beverages",100.0,,low
xo-belgian-waffle::whitefield,XO Belgian Waffle,whitefield,desserts,500.0,,low
cold-fusion::whitefield,Cold Fusion,whitefield,"ice cream, beverages, desserts",300.0,,low
melting-melodies::whitefield,Melting Melodies,whitefield,"bakery, desserts",600.0,,low
amadora-gourmet-ice-cream-sorbet::whitefield,Amadora Gourmet Ice Cream & Sorbet,whitefield,desserts,500.0,,low
magic-scoops-n-smiles::whitefield,Magic scoops N Smiles,whitefield,desserts,200.0,,low
jagannath-mess::brookefield,Jagannath Mess,brookefield,"andhra, north indian, south indian",300.0,,low
nawabi-kitchen::brookefield,Nawabi Kitchen,brookefield,"north indian, chinese",600.0,,low
jagannath-delicacy::brookefield,Jagannath Delicacy,brookefield,"north indian, chinese",500.0,,low
nikhil-s-food-court::brookefield,Nikhil's Food Court,brookefield,"south indian, north indian, chinese, fast food",300.0,,low
basaveshwara-khanavali::brookefield,Basaveshwara Khanavali,brookefield,south indian,200.0,,low
pure-natural::brookefield,Pure & Natural,brookefield,"healthy food, beverages, fast food",500.0,,low
gowdru-mane::brookefield,Gowdru Mane,brookefield,south indian,250.0,,low
eat-eroo---bombay-vada-pav::brookefield,Eat Eroo - Bombay Vada Pav,brookefield,"street food, maharashtrian",200.0,,low
kale-cafe::brookefield,Kale Cafe,brookefield,"fast food, kerala",100.0,,low
new-ambur-biryani::brookefield,New Ambur Biryani,brookefield,"biryani, kebab",300.0,,low
punjabi-thadka::brookefield,Punjabi Thadka,brookefield,north indian,400.0,,low
parvas-biriyani-park::brookefield,Parvas Biriyani Park,brookefield,"andhra, biryani, chinese",400.0,,low
nirvana::brookefield,Nirvana,brookefield,"north indian, chinese",400.0,,low
zam-zam-biriyani-hotel::brookefield,Zam Zam Biriyani Hotel,brookefield,"north indian, chinese, biryani",400.0,,low
foodu-paddu::brookefield,Foodu Paddu,brookefield,fast food,200.0,,low
bangalore-food-cafe::brookefield,Bangalore Food Cafe,brookefield,"north indian, south indian, chinese, fast food",300.0,,low
sri-manjunatha-hotel::brookefield,Sri Manjunatha Hotel,brookefield,north indian,250.0,,low
icloud-irany-cafe::brookefield,iCloud Irany Cafe,brookefield,south indian,120.0,,low
the-hyderabadi-cooks::brookefield,The Hyderabadi Cooks,brookefield,"north indian, chinese",300.0,,low
risalo-restaurant::brookefield,Risalo Restaurant,brookefield,"north indian, chinese",400.0,,low
tummy-singh::brookefield,Tummy Singh,brookefield,"north indian, chinese",700.0,,low
toscano-wine-connection::varthur-main-road-whitefield,Toscano Wine Connection,"varthur main road, whitefield","mediterranean, italian",1200.0,,medium
suvai-factory::marathahalli,Suvai Factory,marathahalli,"north indian, south indian, chinese",350.0,,low
third-wave-coffee-roasters::whitefield,Third Wave Coffee Roasters,whitefield,"cafe, continental, desserts",800.0,,low
auntie-fung-s::whitefield,Auntie Fung's,whitefield,"chinese, vietnamese, desserts",700.0,,low
anushka-restaurant::whitefield,Anushka Restaurant,whitefield,"north indian, chinese",550.0,,low
sangam-sweets::marathahalli,Sangam Sweets,marathahalli,"mithai, street food",200.0,,low
sizzles::whitefield,Sizzles,whitefield,"north indian, chinese, continental",800.0,,low
delight-food::marathahalli,Delight food,marathahalli,"north indian, south indian",250.0,,low
quality-eat::whitefield,Quality Eat,whitefield,south indian,400.0,,low
the-grains::marathahalli,The Grains,marathahalli,"south indian, north indian, chinese",300.0,,low
new-milestone-restaurant::marathahalli,New Milestone Restaurant,marathahalli,north indian,700.0,,low
at-north-parontha-hut::whitefield,At North Parontha Hut,whitefield,north indian,200.0,,low
temptation::whitefield,Temptation,whitefield,"north indian, south indian",300.0,,low
chacha-ka-dhaba::whitefield,Chacha Ka Dhaba,whitefield,"north indian, chinese",400.0,,low
biriyani-section::whitefield,Biriyani Section,whitefield,"biryani, north indian",300.0,,low
paratha-point::itpl-main-road-whitefield,Paratha Point,"itpl main road, whitefield","north indian, chinese",250.0,,low
hms-hyderabad-bawarchi::whitefield,HMS Hyderabad Bawarchi,whitefield,"north indian, chinese, biryani",500.0,,low
rajgarh::whitefield,Rajgarh,whitefield,"north indian, south indian",1200.0,,medium
waah-chef::whitefield,Waah Chef,whitefield,"biryani, mughlai, chinese, north indian",600.0,,low
the-green-cube-s-express::east-bangalore,The Green Cube's Express,east bangalore,fast food,350.0,,low
mayas-kitchen::whitefield,Mayas kitchen,whitefield,"south indian, chinese, chettinad",,,unknown
hot-attack-restaurant::whitefield,Hot Attack Restaurant,whitefield,"north indian, chinese, biryani",500.0,,low
cafe-19::marathahalli,Cafe 19,marathahalli,"cafe, fast food",350.0,,low
romy-s-kitchen::marathahalli,Romy's Kitchen,marathahalli,"north indian, chinese, italian",450.0,,low
desi-chai::marathahalli,Desi Chai,marathahalli,"cafe, fast food, beverages",300.0,,low
hodge-podge::whitefield,Hodge Podge,whitefield,"desserts, cafe",300.0,,low
green-chillies::whitefield,Green Chillies,whitefield,"north indian, south indian, chinese",750.0,,low
red-roost::whitefield,Red Roost,whitefield,"north indian, south indian",500.0,,low
sunrise-family-restaurant::whitefield,Sunrise Family Restaurant,whitefield,"north indian, south indian, chinese",500.0,,low
jugo-fresh::marathahalli,Jugo Fresh,marathahalli,"juices, beverages",150.0,,low
pindi-bangalore::whitefield,Pindi Bangalore,whitefield,"north indian, chinese, biryani, street food",950.0,,medium
vishal-hotel::whitefield,Vishal Hotel,whitefield,south indian,700.0,,low
central-cafe::marathahalli,Central Cafe,marathahalli,"beverages, fast food",300.0,,low
masale-daan::varthur-main-road-whitefield,Masale Daan,"varthur main road, whitefield",north indian,350.0,,low
pk-dhaba::marathahalli,PK Dhaba,marathahalli,"north indian, fast food, beverages",250.0,,low
sai-canteen::whitefield,Sai Canteen,whitefield,"south indian, north indian, street food",200.0,,low
f5::whitefield,F5,whitefield,"north indian, south indian, chinese, continental, arabian",300.0,,low
amaravathi-biryani-zone::whitefield,Amaravathi Biryani Zone,whitefield,"chinese, south indian, north indian",600.0,,low
wah-momo::itpl-main-road-whitefield,WAH MOMO,"itpl main road, whitefield",tibetan,300.0,,low
starter-house::whitefield,Starter House,whitefield,"chinese, continental",250.0,,low
yummy-dum-biriyani::whitefield,Yummy Dum Biriyani,whitefield,"biryani, chinese",500.0,,low
udupi-veg-express::whitefield,Udupi Veg Express,whitefield,"south indian, chinese, north indian",250.0,,low
hotel-rk-food::whitefield,Hotel RK Food,whitefield,"north indian, south indian",500.0,,low
shree-balaji-99-variety-dosa-pav-bhaji::marathahalli,Shree Balaji 99 Variety Dosa & Pav Bhaji,marathahalli,"south indian, street food",150.0,,low
real-ambur-dum-biryani::whitefield,Real Ambur Dum Biryani,whitefield,"biryani, fast food",250.0,,low
daily-bread::whitefield,Daily Bread,whitefield,"bakery, fast food, italian",600.0,,low
rajanna-mane-oota::varthur-main-road-whitefield,Rajanna Mane Oota,"varthur main road, whitefield",south indian,200.0,,low
shree-alva-s-delicacy::whitefield,Shree Alva's Delicacy,whitefield,"south indian, north indian, chinese",400.0,,low
vydehi-green-park-multicuisine-restaurant::whitefield,Vydehi Green Park Multicuisine Restaurant,whitefield,"north indian, south indian, chinese",400.0,,low
traffic-restaurant::marathahalli,Traffic Restaurant,marathahalli,south indian,250.0,,low
krishna-bhojan::marathahalli,Krishna Bhojan,marathahalli,north indian,300.0,,low
99-udupi-veg::marathahalli,99 Udupi Veg,marathahalli,"south indian, north indian",300.0,,low
aahar::marathahalli,Aahar,marathahalli,north indian,500.0,,low
desi-khana::whitefield,Desi Khana,whitefield,"north indian, chinese",300.0,,low
momo-time::whitefield,Momo Time,whitefield,"momos, chinese",300.0,,low
food-box--the-taste-of-odisha::marathahalli,Food Box -The Taste Of Odisha,marathahalli,"chinese, oriya, bengali, north indian",350.0,,low
sri-vinayaka-99-variety-dosa::marathahalli,Sri Vinayaka 99 Variety Dosa,marathahalli,south indian,350.0,,low
hotel-north-indian-express::whitefield,Hotel North Indian Express,whitefield,"north indian, chinese",250.0,,low
traffic-jam::whitefield,Traffic Jam,whitefield,north indian,400.0,,low
sri-venkateswara-restaurant::marathahalli,Sri Venkateswara Restaurant,marathahalli,"andhra, chinese, south indian",400.0,,low
slv-andhra-hotel::whitefield,SLV Andhra Hotel,whitefield,"andhra, south indian, chinese",300.0,,low
master-of-kebab::whitefield,Master Of Kebab,whitefield,"kebab, arabian, afghan",450.0,,low
magic-paratha-box::marathahalli,Magic Paratha Box,marathahalli,north indian,400.0,,low
delhi-to-hotel::marathahalli,Delhi To Hotel,marathahalli,"north indian, chinese",350.0,,low
ab-cafe::marathahalli,AB Cafe,marathahalli,"fast food, beverages",300.0,,low
hyderabadi-dum-biriyani::whitefield,Hyderabadi Dum Biriyani,whitefield,"north indian, chinese",350.0,,low
new-ruchi-sagar::marathahalli,New Ruchi Sagar,marathahalli,"south indian, north indian, chinese",200.0,,low
dharani-andhra-style-hotel::whitefield,Dharani Andhra Style Hotel,whitefield,south indian,200.0,,low
madurai-canteen::whitefield,Madurai Canteen,whitefield,"south indian, chettinad",200.0,,low
best-biryani::marathahalli,Best Biryani,marathahalli,"north indian, biryani, desserts",600.0,,low
pr-kitchen::whitefield,PR Kitchen,whitefield,"south indian, chinese",350.0,,low
panky-s-kitchen::whitefield,Panky's Kitchen,whitefield,north indian,400.0,,low
boxes-and-combos::whitefield,Boxes And Combos,whitefield,"north indian, south indian",500.0,,low
wow-tiffin-food::whitefield,Wow Tiffin Food,whitefield,north indian,200.0,,low
quick-bites::whitefield,Quick Bites,whitefield,"chinese, rolls, south indian",250.0,,low
hotel-bhuvaneshwari::whitefield,Hotel Bhuvaneshwari,whitefield,north indian,350.0,,low
hyderabadi-biryummy-house::whitefield,Hyderabadi Biryummy House,whitefield,"hyderabadi, biryani",300.0,,low
nys-kitchen::whitefield,NYS Kitchen,whitefield,"north indian, chinese",300.0,,low
slv-spice-up::marathahalli,SLV Spice Up,marathahalli,"south indian, north indian, chinese",400.0,,low
sai-charan-tiffin-house::whitefield,Sai Charan Tiffin House,whitefield,south indian,150.0,,low
cafe-knight::marathahalli,Cafe Knight,marathahalli,"fast food, north indian",200.0,,low
new-royal-treat::marathahalli,New Royal Treat,marathahalli,"north indian, chinese",350.0,,low
inhouse-burger::whitefield,Inhouse Burger,whitefield,"burger, fast food",500.0,,low
maza-e-hind::bellandur,Maza E Hind,bellandur,north indian,300.0,,low
comfert-foods::itpl-main-road-whitefield,Comfert Foods,"itpl main road, whitefield",north indian,200.0,,low
ghar-ke-phulke::itpl-main-road-whitefield,Ghar Ke Phulke,"itpl main road, whitefield",north indian,300.0,,low
nandini-chats::marathahalli,Nandini Chats,marathahalli,street food,150.0,,low
ambur-hot-dum-biryani::marathahalli,Ambur Hot Dum Biryani,marathahalli,"biryani, chinese",300.0,,low
red-pepper::whitefield,Red Pepper,whitefield,"north indian, bengali, biryani, mughlai",250.0,,low
rps-food-corner::marathahalli,RPS Food Corner,marathahalli,"bengali, chinese, north indian",400.0,,low
hyderabad-biryani::whitefield,Hyderabad Biryani,whitefield,biryani,300.0,,low
tasty-food::whitefield,Tasty Food,whitefield,"north indian, chinese",300.0,,low
punjabi-park::itpl-main-road-whitefield,Punjabi Park,"itpl main road, whitefield",north indian,400.0,,low
crepe-connection::marathahalli,Crepe Connection,marathahalli,"fast food, italian, desserts",400.0,,low
andhra-ghumaghumalu::whitefield,Andhra Ghumaghumalu,whitefield,"andhra, biryani, north indian",300.0,,low
indian-food::marathahalli,Indian Food,marathahalli,"north indian, south indian",200.0,,low
sri-sai-darshini-veg-restaurant::marathahalli,Sri Sai Darshini Veg Restaurant,marathahalli,south indian,300.0,,low
shiv-sagar::whitefield,Shiv sagar,whitefield,"south indian, street food, north indian",250.0,,low
nawab-di-biryani::whitefield,Nawab Di Biryani,whitefield,"biryani, mughlai",400.0,,low
bong-connections::whitefield,Bong Connections,whitefield,"chinese, north indian",300.0,,low
aaccord-restaurant::btm,Aaccord Restaurant,btm,"continental, north indian, south indian",700.0,,low
the-flying-trapeze::koramangala-5th-block,The Flying Trapeze,koramangala 5th block,"north indian, continental, chinese",1500.0,,medium
coco-barista::btm,Coco Barista,btm,"cafe, beverages",400.0,,low
chillout::btm,Chillout,btm,"burger, cafe, pizza, fast food",200.0,,low
la-passion-cafe::btm,La Passion Cafe,btm,cafe,500.0,,low
zaitoon-lassi-cafe::btm,Zaitoon Lassi Cafe,btm,"cafe, burger, sandwich, beverages",150.0,,low
cupp::btm,Cupp,btm,"cafe, fast food",550.0,,low
krazy-factory::koramangala-5th-block,Krazy Factory,koramangala 5th block,"cafe, continental, chinese",,4.0,unknown
wellness-cafe::bannerghatta-road,Wellness Cafe,bannerghatta road,"cafe, healthy food",400.0,,low
copper-cafe-grill::hsr,Copper Cafe & Grill,hsr,"cafe, north indian, continental",500.0,,low
the-eatery-cafe-and-restaurant::koramangala-7th-block,The Eatery Cafe and Restaurant,koramangala 7th block,"cafe, continental",500.0,,low
smack-cafe::koramangala-1st-block,Smack Cafe,koramangala 1st block,cafe,400.0,,low
dipd-n-chocolate::koramangala-7th-block,Dipd N Chocolate,koramangala 7th block,"cafe, desserts",300.0,,low
biryanis-and-more::koramangala-5th-block,Biryanis And More,koramangala 5th block,"biryani, north indian, chinese, andhra, south indian",750.0,,low
bathinda-tandoor::btm,Bathinda Tandoor,btm,north indian,300.0,,low
masale-daan::btm,Masale Daan,btm,north indian,350.0,,low
seasons::bannerghatta-road,Seasons,bannerghatta road,"north indian, south indian, chinese, seafood, kerala, arabian, juices",,3.8,unknown
cake-chemistry::jayanagar,Cake Chemistry,jayanagar,"bakery, desserts",500.0,,low
masale-daan::hsr,Masale Daan,hsr,north indian,350.0,,low
all-aromas::jayanagar,All Aromas,jayanagar,"north indian, biryani",400.0,,low
yo-thali::hsr,Yo! Thali,hsr,"north indian, south indian, chinese",400.0,,low
ahmed-s-little-hut::btm,Ahmed's Little Hut,btm,fast food,250.0,,low
chef-genie::hsr,Chef Genie,hsr,"biryani, fast food",500.0,,low
cake-paradise::jayanagar,Cake Paradise,jayanagar,"bakery, desserts",350.0,,low
china-town-07::btm,China Town 07,btm,"chinese, momos",300.0,,low
omleterian::btm,Omleterian,btm,"american, continental",200.0,,low
slurpy-shakes::btm,Slurpy Shakes,btm,beverages,300.0,,low
artinci-artisanal-ice-cream::jp-nagar,Artinci Artisanal Ice Cream,jp nagar,"desserts, ice cream",300.0,,low
ulavacharu::koramangala-5th-block,Ulavacharu,koramangala 5th block,"andhra, north indian, chinese",900.0,,medium
cocoa-bakes::jayanagar,Cocoa Bakes,jayanagar,"bakery, desserts",350.0,,low
bottle-genie::btm,Bottle Genie,btm,beverages,350.0,,low
blue-tokai-coffee-roasters::koramangala-8th-block,Blue Tokai Coffee Roasters,koramangala 8th block,"cafe, coffee",400.0,,low
trio-dosa-connect::hsr,Trio Dosa Connect,hsr,"south indian, beverages",300.0,,low
momo-blues::koramangala-5th-block,Momo Blues,koramangala 5th block,"chinese, momos, nepalese, tibetan",200.0,,low
akshaya-bar-and-restaurant::koramangala-1st-block,Akshaya Bar And Restaurant,koramangala 1st block,"north indian, south indian, chinese, fast food",600.0,,low
omleterian::jp-nagar,Omleterian,jp nagar,"american, continental",200.0,,low
village-kitchen::hsr,Village Kitchen,hsr,"south indian, kerala, chinese",250.0,,low
chai-point::hosur-road,Chai Point,hosur road,"tea, beverages, fast food",250.0,,low
slv-ragigudda::jayanagar,SLV Ragigudda,jayanagar,"south indian, indian",400.0,,low
seven-ate-nine::hsr,Seven Ate Nine,hsr,"north indian, steak, south indian",700.0,,low
world-of-asia::btm,World Of Asia,btm,asian,300.0,,low
foody-s-land::koramangala-4th-block,Foody's Land,koramangala 4th block,fast food,300.0,,low
kanti-bakes-flakes::bannerghatta-road,Kanti Bakes & Flakes,bannerghatta road,"desserts, mithai",300.0,,low
paani-kum-chai::hsr,Paani Kum Chai,hsr,"tea, beverages",100.0,,low
foody-s-lane::koramangala-4th-block,Foody's Lane,koramangala 4th block,"north indian, chinese",450.0,,low
city-cafe::jp-nagar,City Cafe,jp nagar,"beverages, juices, fast food, rolls",200.0,,low
xpress-dhaba::koramangala-1st-block,Xpress Dhaba,koramangala 1st block,north indian,400.0,,low
thyme-whisk::jayanagar,Thyme & Whisk,jayanagar,"asian, chinese, continental, italian",800.0,,low
falooda-cafe::btm,Falooda Cafe,btm,"beverages, desserts",200.0,,low
lyengar-s-cakes-n-cookies::bannerghatta-road,Lyengar's Cakes N Cookies,bannerghatta road,"bakery, desserts",400.0,,low
swathi-restaurant::hsr,Swathi Restaurant,hsr,"andhra, north indian, chinese",400.0,,low
momo-time::hsr,Momo Time,hsr,"momos, chinese",300.0,,low
sri-srinivas-park-hotel::btm,Sri Srinivas Park Hotel,btm,"north indian, south indian",250.0,,low
mangala-s-tea-time-cafe::koramangala-1st-block,Mangala's Tea Time Cafe,koramangala 1st block,"tea, fast food",150.0,,low
tea-trails::hsr,Tea Trails,hsr,"north indian, tea, fast food",600.0,,low
namana-garden::bannerghatta-road,Namana Garden,bannerghatta road,"south indian, beverages",250.0,,low
north-chinese-centre::bannerghatta-road,North Chinese Centre,bannerghatta road,"chinese, north indian",250.0,,low
coco-barista::btm,Coco Barista,btm,"cafe, beverages",400.0,,low
lassi-magic::hsr,Lassi Magic,hsr,"beverages, ice cream",200.0,,low
the-london-shakes::btm,The London Shakes,btm,"beverages, fast food, italian",400.0,,low
tanu-di-s-kitchen::koramangala-1st-block,Tanu Di's Kitchen,koramangala 1st block,"north indian, south indian, bengali",350.0,,low
cane-crussh::btm,Cane Crussh,btm,juices,100.0,,low
le-arabia::jp-nagar,Le Arabia,jp nagar,"north indian, mughlai",600.0,,low
gruhalakshmi-home-foods::bommanahalli,Gruhalakshmi Home Foods,bommanahalli,mithai,250.0,,low
momo-time::bannerghatta-road,Momo Time,bannerghatta road,"momos, american",600.0,,low
lassi-plaza::hsr,Lassi Plaza,hsr,"desserts, beverages",100.0,,low
zaitoon-lassi-cafe::btm,Zaitoon Lassi Cafe,btm,"cafe, burger, sandwich, beverages",150.0,,low
hotel-vkm::btm,HOTEL VKM,btm,south indian,300.0,,low
le-centre-jeunesse::bannerghatta-road,Le Centre Jeunesse,bannerghatta road,continental,400.0,,low
aubree-le-chocolatier::koramangala-6th-block,Aubree Le Chocolatier,koramangala 6th block,desserts,300.0,,low
the-chai-stop::koramangala-5th-block,The Chai Stop,koramangala 5th block,"fast food, tea",200.0,,low
soup-station::itpl-main-road-whitefield,Soup Station,"itpl main road, whitefield",continental,250.0,,low
melting-melodies::koramangala-1st-block,Melting Melodies,koramangala 1st block,"bakery, desserts",600.0,,low
pk-dhaba::marathahalli,PK Dhaba,marathahalli,"north indian, fast food, beverages",250.0,,low
cafe-noir::koramangala-7th-block,Cafe Noir,koramangala 7th block,"european, french, salad",1500.0,,medium
shake-the-shake::btm,Shake The Shake,btm,juices,200.0,,low
mr-parathewala::jayanagar,Mr. Parathewala,jayanagar,north indian,300.0,,low
healthy-parathawala::btm,Healthy Parathawala,btm,north indian,200.0,,low
my-tea-house::banashankari,My Tea House,banashankari,"continental, asian, north indian, tea",500.0,,low
indian-desi-momo::bommanahalli,Indian Desi Momo,bommanahalli,momos,200.0,,low
hungry-haters::jp-nagar,Hungry Haters,jp nagar,"chinese, north indian",300.0,,low
basmati-s-briyani-nation::hsr,Basmati's Briyani Nation,hsr,"biryani, fast food",350.0,,low
patiala-house::koramangala-7th-block,Patiala House,koramangala 7th block,"north indian, rolls, chinese, biryani",300.0,,low
skinz-ooty-chocolate::koramangala-8th-block,Skinz Ooty Chocolate,koramangala 8th block,desserts,200.0,,low
still-sipping::hsr,Still Sipping,hsr,"cafe, continental, coffee",800.0,,low
only-sharjah::btm,Only Sharjah,btm,beverages,200.0,,low
chillout::btm,Chillout,btm,"burger, cafe, pizza, fast food",200.0,,low
b2d-indori-dhaba::btm,B2D Indori Dhaba,btm,north indian,100.0,,low
khaja-point::btm,Khaja Point,btm,"north indian, chinese, biryani",300.0,,low
chun-li::koramangala-6th-block,Chun Li,koramangala 6th block,chinese,300.0,,low
olives-restaurant::hsr,Olives Restaurant,hsr,"south indian, chinese, north indian",400.0,,low
mr-cane::bommanahalli,Mr. Cane,bommanahalli,juices,100.0,,low
eat-n-pack::btm,Eat N Pack,btm,kerala,150.0,,low
fnp-cakes-n-more::koramangala-5th-block,FNP Cakes N More,koramangala 5th block,bakery,700.0,,low
darshan-paradise-restaurant::btm,Darshan Paradise Restaurant,btm,"north indian, chinese",250.0,,low
ambur-biryani::koramangala-8th-block,Ambur Biryani,koramangala 8th block,biryani,200.0,,low
oye-mithai::koramangala-1st-block,Oye Mithai,koramangala 1st block,mithai,200.0,,low
freshbakes::koramangala-1st-block,FreshBakes,koramangala 1st block,"bakery, desserts",350.0,,low
friends-chats-adda::btm,Friends Chats Adda,btm,"fast food, sandwich, beverages",200.0,,low
amjad-bhai-s-star-hotel---home-food-only::btm,Amjad Bhai's Star Hotel - Home Food Only,btm,"north indian, south indian",300.0,,low
wow-laddus::jp-nagar,WOW Laddus,jp nagar,mithai,800.0,,low
pizza-palace::bommanahalli,Pizza Palace,bommanahalli,"pizza, fast food",300.0,,low
big-fat-brownie::hsr,Big Fat Brownie,hsr,"bakery, sandwich",400.0,,low
sky-juice-corner::koramangala-5th-block,Sky Juice Corner,koramangala 5th block,juices,100.0,,low
