id,name,location,cuisine,avg_cost_for_two,rating,budget_band
cake-of-the-day::banashankari,Cake of the Day,banashankari,bakery,150.0,3.7,low
kabab-magic::basavanagudi,Kabab Magic,basavanagudi,"north indian, kebab, chinese, fast food",400.0,4.1,low
namma-brahmin-s-idli::jayanagar,Namma Brahmin's Idli,jayanagar,south indian,100.0,3.6,low
gustoes-beer-house::banashankari,Gustoes Beer House,banashankari,"continental, italian, mexican, north indian, chinese, steak",1200.0,4.1,medium
sugar-rush::banashankari,Sugar Rush,banashankari,"bakery, desserts",300.0,3.8,low
burger-king::basavanagudi,Burger King,basavanagudi,"burger, fast food, beverages",600.0,3.2,low
the-good-bowl::banashankari,The Good Bowl,banashankari,"italian, north indian, biryani",500.0,3.6,low
the-biryani-cafe::banashankari,The Biryani Cafe,banashankari,"biryani, chinese, kebab",300.0,4.1,low
lsd-cafe::banashankari,LSD Cafe,banashankari,"chinese, continental, italian, north indian",700.0,2.9,low
rolls-on-wheels::banashankari,Rolls On Wheels,banashankari,"fast food, rolls, momos",300.0,3.6,low
sri-guru-kottureshwara-davangere-benne-dosa::basavanagudi,Sri Guru Kottureshwara Davangere Benne Dosa,basavanagudi,south indian,150.0,4.1,low
devanna-dum-biriyani-centre::banashankari,Devanna Dum Biriyani Centre,banashankari,"biryani, south indian",300.0,3.6,low
kolbeh::banashankari,Kolbeh,banashankari,fast food,500.0,3.7,low
upahar-sagar::banashankari,Upahar Sagar,banashankari,"south indian, chinese, north indian",350.0,3.8,low
kadalu-sea-food-restaurant::vijay-nagar,Kadalu Sea Food Restaurant,vijay nagar,"seafood, north indian, chinese, andhra, biryani, kebab",500.0,3.8,low
frozen-bottle::banashankari,Frozen Bottle,banashankari,"beverages, desserts, ice cream",400.0,4.2,low
parimala-sweets::banashankari,Parimala Sweets,banashankari,"mithai, street food",200.0,3.5,low
vaishali-deluxe::banashankari,Vaishali Deluxe,banashankari,"north indian, chinese",700.0,3.8,low
the-big-o-bakes::banashankari,The Big O Bakes,banashankari,"bakery, desserts",300.0,4.0,low
meghana-foods::jayanagar,Meghana Foods,jayanagar,"biryani, north indian, chinese",600.0,4.4,low
krishna-sagar::banashankari,Krishna Sagar,banashankari,north indian,200.0,3.5,low
dessert-rose::banashankari,Dessert Rose,banashankari,desserts,500.0,3.5,low
chickpet-donne-biryani-house::banashankari,Chickpet Donne Biryani House,banashankari,biryani,250.0,3.7,low
thanco-s-natural-ice-creams::banashankari,Thanco's Natural Ice Creams,banashankari,ice cream,300.0,3.2,low
nandhini-deluxe::banashankari,Nandhini Deluxe,banashankari,north indian,600.0,2.6,low
vi-ra-s-bar-and-restaurant::banashankari,Vi Ra's Bar and Restaurant,banashankari,"south indian, north indian, chinese",800.0,3.3,low
kaggis::banashankari,Kaggis,banashankari,"fast food, bakery",250.0,3.8,low
ayda-persian-kitchen::banashankari,Ayda Persian Kitchen,banashankari,"north indian, iranian",950.0,3.7,medium
chatar-patar::banashankari,Chatar Patar,banashankari,"fast food, street food",300.0,3.7,low
polar-bear::basavanagudi,Polar Bear,basavanagudi,"ice cream, desserts, beverages, sandwich",400.0,3.8,low
kidambi-s-kitchen::banashankari,Kidambi's Kitchen,banashankari,south indian,300.0,3.5,low
mane-thindi::banashankari,Mane Thindi,banashankari,south indian,200.0,3.7,low
kotian-karavali-restaurant::banashankari,Kotian Karavali Restaurant,banashankari,"south indian, biryani",300.0,3.5,low
floured-baked-with-love::banashankari,Floured-Baked With Love,banashankari,bakery,400.0,3.8,low
cakes-slices::banashankari,Cakes & Slices,banashankari,"bakery, desserts",300.0,3.5,low
spice-9::banashankari,Spice 9,banashankari,"biryani, north indian, chinese, fast food",300.0,3.4,low
